"ICD10CM","PHECODE","Exl. Phecodes","Excl. Phenotypes"
"A00","008","001-009.99","Intestinal infection"
"A00.0","008","001-009.99","Intestinal infection"
"A00.1","008","001-009.99","Intestinal infection"
"A00.9","008","001-009.99","Intestinal infection"
"A01","008","001-009.99","Intestinal infection"
"A01.0","008.5","001-009.99","Intestinal infection"
"A01.00","008.5","001-009.99","Intestinal infection"
"A01.01","008.5","001-009.99","Intestinal infection"
"A01.02","008.5","001-009.99","Intestinal infection"
"A01.03","008.5","001-009.99","Intestinal infection"
"A01.04","008.5","001-009.99","Intestinal infection"
"A01.05","008.5","001-009.99","Intestinal infection"
"A01.09","008.5","001-009.99","Intestinal infection"
"A01.1","008","001-009.99","Intestinal infection"
"A01.2","008","001-009.99","Intestinal infection"
"A01.3","008","001-009.99","Intestinal infection"
"A01.4","008","001-009.99","Intestinal infection"
"A02","008.5","001-009.99","Intestinal infection"
"A02.0","008.5","001-009.99","Intestinal infection"
"A02.1","038.1","010-041.99","bacterial infection"
"A02.2","008.5","001-009.99","Intestinal infection"
"A02.20","008.5","001-009.99","Intestinal infection"
"A02.21",320,"320-326.9","INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM"
"A02.22",480.1,"480-488.99","Pneumonia and influenza"
"A02.23",711,"710-716.99","Arthropathies"
"A02.24",710.1,"710-716.99","Arthropathies"
"A02.25","008.5","001-009.99","Intestinal infection"
"A02.29","008.5","001-009.99","Intestinal infection"
"A02.8","008.5","001-009.99","Intestinal infection"
"A02.9","008.5","001-009.99","Intestinal infection"
"A03","008.5","001-009.99","Intestinal infection"
"A03.0","008.5","001-009.99","Intestinal infection"
"A03.1","008.5","001-009.99","Intestinal infection"
"A03.2","008.5","001-009.99","Intestinal infection"
"A03.3","008.5","001-009.99","Intestinal infection"
"A03.8","008.5","001-009.99","Intestinal infection"
"A03.9","008.5","001-009.99","Intestinal infection"
"A04.0","008.51","001-009.99","Intestinal infection"
"A04.1","008.51","001-009.99","Intestinal infection"
"A04.2","008.51","001-009.99","Intestinal infection"
"A04.3","008.51","001-009.99","Intestinal infection"
"A04.4","008.51","001-009.99","Intestinal infection"
"A04.5","008.5","001-009.99","Intestinal infection"
"A04.6","008.5","001-009.99","Intestinal infection"
"A04.7","008.52","001-009.99","Intestinal infection"
"A04.71","008.52","001-009.99","Intestinal infection"
"A04.72","008.52","001-009.99","Intestinal infection"
"A04.8","008.5","001-009.99","Intestinal infection"
"A04.9","008.5","001-009.99","Intestinal infection"
"A05.0","008.5","001-009.99","Intestinal infection"
"A05.1","008.5","001-009.99","Intestinal infection"
"A05.2","008.5","001-009.99","Intestinal infection"
"A05.3","008.5","001-009.99","Intestinal infection"
"A05.4","008.5","001-009.99","Intestinal infection"
"A05.5","008.5","001-009.99","Intestinal infection"
"A05.8","008.5","001-009.99","Intestinal infection"
"A05.9","008","001-009.99","Intestinal infection"
"A06","008","001-009.99","Intestinal infection"
"A06.0","008","001-009.99","Intestinal infection"
"A06.1","008.7","001-009.99","Intestinal infection"
"A06.2","008","001-009.99","Intestinal infection"
"A06.3","008","001-009.99","Intestinal infection"
"A06.4","008","001-009.99","Intestinal infection"
"A06.5","008","001-009.99","Intestinal infection"
"A06.6","008","001-009.99","Intestinal infection"
"A06.7","008","001-009.99","Intestinal infection"
"A06.8","008","001-009.99","Intestinal infection"
"A06.81","008","001-009.99","Intestinal infection"
"A06.82","008","001-009.99","Intestinal infection"
"A06.89","008","001-009.99","Intestinal infection"
"A06.9","008","001-009.99","Intestinal infection"
"A07","008","001-009.99","Intestinal infection"
"A07.0","008.7","001-009.99","Intestinal infection"
"A07.1","008.7","001-009.99","Intestinal infection"
"A07.2","008.7","001-009.99","Intestinal infection"
"A07.3","008","001-009.99","Intestinal infection"
"A07.4","008","001-009.99","Intestinal infection"
"A07.8","008.7","001-009.99","Intestinal infection"
"A07.8",136,"130-136.99","Other infections; including parasitic"
"A07.9","008","001-009.99","Intestinal infection"
"A08","008.6","001-009.99","Intestinal infection"
"A08.0","008.6","001-009.99","Intestinal infection"
"A08.1","008.6","001-009.99","Intestinal infection"
"A08.11","008.6","001-009.99","Intestinal infection"
"A08.19","008.6","001-009.99","Intestinal infection"
"A08.2","008.6","001-009.99","Intestinal infection"
"A08.3","008.6","001-009.99","Intestinal infection"
"A08.31","008.6","001-009.99","Intestinal infection"
"A08.32","008.6","001-009.99","Intestinal infection"
"A08.39","008.6","001-009.99","Intestinal infection"
"A08.4","008.6","001-009.99","Intestinal infection"
"A08.8","008.6","001-009.99","Intestinal infection"
"A09","008","001-009.99","Intestinal infection"
"A15","010","010-041.99","bacterial infection"
"A15.0","010","010-041.99","bacterial infection"
"A15.4","010","010-041.99","bacterial infection"
"A15.5","010","010-041.99","bacterial infection"
"A15.6","010","010-041.99","bacterial infection"
"A15.7","010","010-041.99","bacterial infection"
"A15.8","010","010-041.99","bacterial infection"
"A15.9","010","010-041.99","bacterial infection"
"A17","010","010-041.99","bacterial infection"
"A17.0","010","010-041.99","bacterial infection"
"A17.1","010","010-041.99","bacterial infection"
"A17.8","010","010-041.99","bacterial infection"
"A17.81","010","010-041.99","bacterial infection"
"A17.82","010","010-041.99","bacterial infection"
"A17.83","010","010-041.99","bacterial infection"
"A17.89","010","010-041.99","bacterial infection"
"A17.9","010","010-041.99","bacterial infection"
"A18","010","010-041.99","bacterial infection"
"A18.0","010","010-041.99","bacterial infection"
"A18.01","010","010-041.99","bacterial infection"
"A18.02","010","010-041.99","bacterial infection"
"A18.03","010","010-041.99","bacterial infection"
"A18.09","010","010-041.99","bacterial infection"
"A18.1","010","010-041.99","bacterial infection"
"A18.10","010","010-041.99","bacterial infection"
"A18.11","010","010-041.99","bacterial infection"
"A18.12","010","010-041.99","bacterial infection"
"A18.13","010","010-041.99","bacterial infection"
"A18.14","010","010-041.99","bacterial infection"
"A18.15","010","010-041.99","bacterial infection"
"A18.16","010","010-041.99","bacterial infection"
"A18.17","010","010-041.99","bacterial infection"
"A18.18","010","010-041.99","bacterial infection"
"A18.2","010","010-041.99","bacterial infection"
"A18.3","010","010-041.99","bacterial infection"
"A18.31","010","010-041.99","bacterial infection"
"A18.32","010","010-041.99","bacterial infection"
"A18.39","010","010-041.99","bacterial infection"
"A18.4","010","010-041.99","bacterial infection"
"A18.5","010","010-041.99","bacterial infection"
"A18.50","010","010-041.99","bacterial infection"
"A18.51",379.1,"375-379.99","other eye disorders"
"A18.51","010","010-041.99","bacterial infection"
"A18.52","010","010-041.99","bacterial infection"
"A18.53","010","010-041.99","bacterial infection"
"A18.54","010","010-041.99","bacterial infection"
"A18.59","010","010-041.99","bacterial infection"
"A18.6","010","010-041.99","bacterial infection"
"A18.7","010","010-041.99","bacterial infection"
"A18.8","010","010-041.99","bacterial infection"
"A18.81","010","010-041.99","bacterial infection"
"A18.82","010","010-041.99","bacterial infection"
"A18.83","010","010-041.99","bacterial infection"
"A18.84","010","010-041.99","bacterial infection"
"A18.85","010","010-041.99","bacterial infection"
"A18.89","010","010-041.99","bacterial infection"
"A19","010","010-041.99","bacterial infection"
"A19.0","010","010-041.99","bacterial infection"
"A19.1","010","010-041.99","bacterial infection"
"A19.2","010","010-041.99","bacterial infection"
"A19.8","010","010-041.99","bacterial infection"
"A19.9","010","010-041.99","bacterial infection"
"A20","041","010-041.99","bacterial infection"
"A20.0","041","010-041.99","bacterial infection"
"A20.1",686,"680-686.99","Skin and subcutaneous tissue infections"
"A20.2",480.1,"480-488.99","Pneumonia and influenza"
"A20.3","041","010-041.99","bacterial infection"
"A20.7","038.1","010-041.99","bacterial infection"
"A20.8","041","010-041.99","bacterial infection"
"A20.9","041","010-041.99","bacterial infection"
"A21","041","010-041.99","bacterial infection"
"A21.0",686,"680-686.99","Skin and subcutaneous tissue infections"
"A21.1",369,"369-374.99","infection/inflammation of eye"
"A21.2",480.1,"480-488.99","Pneumonia and influenza"
"A21.3","008","001-009.99","Intestinal infection"
"A21.7","041","010-041.99","bacterial infection"
"A21.8","041","010-041.99","bacterial infection"
"A21.9","041","010-041.99","bacterial infection"
"A22","041","010-041.99","bacterial infection"
"A22.0",686,"680-686.99","Skin and subcutaneous tissue infections"
"A22.1",480.1,"480-488.99","Pneumonia and influenza"
"A22.2","008","001-009.99","Intestinal infection"
"A22.7","038.2","010-041.99","bacterial infection"
"A22.8","041","010-041.99","bacterial infection"
"A22.9","041","010-041.99","bacterial infection"
"A23","041","010-041.99","bacterial infection"
"A23.0","041","010-041.99","bacterial infection"
"A23.1","041","010-041.99","bacterial infection"
"A23.2","041","010-041.99","bacterial infection"
"A23.3","041","010-041.99","bacterial infection"
"A23.8","041","010-041.99","bacterial infection"
"A23.9","041","010-041.99","bacterial infection"
"A24","041","010-041.99","bacterial infection"
"A24.0","041","010-041.99","bacterial infection"
"A24.1","041","010-041.99","bacterial infection"
"A24.2","041","010-041.99","bacterial infection"
"A24.3","041","010-041.99","bacterial infection"
"A24.9","041","010-041.99","bacterial infection"
"A25","041","010-041.99","bacterial infection"
"A25.0","041","010-041.99","bacterial infection"
"A25.1",711,"710-716.99","Arthropathies"
"A25.9","041","010-041.99","bacterial infection"
"A26",686,"680-686.99","Skin and subcutaneous tissue infections"
"A26.0",529.1,"527-529.99","Diseases of mouth; excluding dental"
